feature,importance
컨택건수_이용유도_TM_R6M,0.16394946
컨택건수_이용유도_청구서_B0M,0.14516126
컨택건수_신용발급_TM_R6M,0.13681382
컨택건수_이용유도_EM_B0M,0.13608979
컨택건수_이용유도_EM_R6M,0.04811363
컨택건수_이용유도_인터넷_R6M,0.028737018
컨택건수_이용유도_청구서_R6M,0.028701516
컨택건수_보험_TM_R6M,0.028412642
컨택건수_포인트소진_TM_R6M,0.025041811
컨택건수_리볼빙_LMS_R6M,0.022481691
컨택건수_이용유도_TM_B0M,0.02051687
컨택건수_이용유도_LMS_R6M,0.019440422
캠페인접촉일수_R12M_num,0.01910204
컨택건수_CA_청구서_R6M,0.018399566
컨택건수_이용유도_인터넷_B0M,0.015884437
컨택건수_카드론_TM_R6M,0.015412116
컨택건수_이용유도_LMS_B0M,0.015396309
컨택건수_채권_R6M,0.01462487
컨택건수_카드론_LMS_B0M,0.014223294
컨택건수_CA_LMS_R6M,0.012040887
캠페인접촉건수_R12M_num,0.011729275
컨택건수_카드론_청구서_R6M,0.009371851
컨택건수_CA_청구서_B0M,0.008465945
컨택건수_리볼빙_TM_R6M,0.008272188
컨택건수_카드론_LMS_R6M,0.007375425
컨택건수_부대서비스_TM_R6M,0.0056336545
컨택건수_카드론_EM_R6M,0.00562275
컨택건수_카드론_TM_B0M,0.0055283452
컨택건수_채권_B0M,0.0052338243
컨택건수_보험_TM_B0M,0.004223258
